"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths
	"Larynx"	"22020"	"Ohio"	"39"	"2002"	"2002"	"Male"	"M"	129
	"Larynx"	"22020"	"Ohio"	"39"	"2003"	"2003"	"Female"	"F"	33
	"Larynx"	"22020"	"Ohio"	"39"	"2003"	"2003"	"Male"	"M"	138
	"Larynx"	"22020"	"Ohio"	"39"	"2004"	"2004"	"Female"	"F"	38
	"Larynx"	"22020"	"Ohio"	"39"	"2004"	"2004"	"Male"	"M"	135
	"Larynx"	"22020"	"Ohio"	"39"	"2005"	"2005"	"Female"	"F"	38
	"Larynx"	"22020"	"Ohio"	"39"	"2005"	"2005"	"Male"	"M"	142
	"Larynx"	"22020"	"Ohio"	"39"	"2006"	"2006"	"Female"	"F"	38
	"Larynx"	"22020"	"Ohio"	"39"	"2006"	"2006"	"Male"	"M"	149
	"Larynx"	"22020"	"Ohio"	"39"	"2007"	"2007"	"Female"	"F"	43
	"Larynx"	"22020"	"Ohio"	"39"	"2007"	"2007"	"Male"	"M"	144
	"Larynx"	"22020"	"Ohio"	"39"	"2008"	"2008"	"Female"	"F"	35
	"Larynx"	"22020"	"Ohio"	"39"	"2008"	"2008"	"Male"	"M"	139
	"Larynx"	"22020"	"Ohio"	"39"	"2009"	"2009"	"Female"	"F"	34
	"Larynx"	"22020"	"Ohio"	"39"	"2009"	"2009"	"Male"	"M"	156
	"Larynx"	"22020"	"Ohio"	"39"	"2010"	"2010"	"Female"	"F"	35
	"Larynx"	"22020"	"Ohio"	"39"	"2010"	"2010"	"Male"	"M"	148
	"Larynx"	"22020"	"Ohio"	"39"	"2011"	"2011"	"Female"	"F"	45
	"Larynx"	"22020"	"Ohio"	"39"	"2011"	"2011"	"Male"	"M"	139
	"Larynx"	"22020"	"Ohio"	"39"	"2012"	"2012"	"Female"	"F"	41
	"Larynx"	"22020"	"Ohio"	"39"	"2012"	"2012"	"Male"	"M"	144
	"Larynx"	"22020"	"Ohio"	"39"	"2013"	"2013"	"Female"	"F"	46
	"Larynx"	"22020"	"Ohio"	"39"	"2013"	"2013"	"Male"	"M"	123
	"Larynx"	"22020"	"Oklahoma"	"40"	"1999"	"1999"	"Male"	"M"	43
	"Larynx"	"22020"	"Oklahoma"	"40"	"2000"	"2000"	"Male"	"M"	35
	"Larynx"	"22020"	"Oklahoma"	"40"	"2001"	"2001"	"Male"	"M"	41
	"Larynx"	"22020"	"Oklahoma"	"40"	"2002"	"2002"	"Male"	"M"	36
	"Larynx"	"22020"	"Oklahoma"	"40"	"2003"	"2003"	"Male"	"M"	33
	"Larynx"	"22020"	"Oklahoma"	"40"	"2004"	"2004"	"Male"	"M"	34
	"Larynx"	"22020"	"Oklahoma"	"40"	"2005"	"2005"	"Male"	"M"	35
	"Larynx"	"22020"	"Oklahoma"	"40"	"2006"	"2006"	"Male"	"M"	32
	"Larynx"	"22020"	"Oklahoma"	"40"	"2007"	"2007"	"Male"	"M"	40
	"Larynx"	"22020"	"Oklahoma"	"40"	"2008"	"2008"	"Male"	"M"	35
	"Larynx"	"22020"	"Oklahoma"	"40"	"2009"	"2009"	"Male"	"M"	30
	"Larynx"	"22020"	"Oklahoma"	"40"	"2010"	"2010"	"Male"	"M"	37
	"Larynx"	"22020"	"Oklahoma"	"40"	"2011"	"2011"	"Male"	"M"	37
	"Larynx"	"22020"	"Oklahoma"	"40"	"2012"	"2012"	"Male"	"M"	36
	"Larynx"	"22020"	"Oklahoma"	"40"	"2013"	"2013"	"Male"	"M"	31
	"Larynx"	"22020"	"Oregon"	"41"	"1999"	"1999"	"Male"	"M"	27
	"Larynx"	"22020"	"Oregon"	"41"	"2000"	"2000"	"Male"	"M"	26
	"Larynx"	"22020"	"Oregon"	"41"	"2001"	"2001"	"Male"	"M"	31
	"Larynx"	"22020"	"Oregon"	"41"	"2002"	"2002"	"Male"	"M"	35
	"Larynx"	"22020"	"Oregon"	"41"	"2003"	"2003"	"Male"	"M"	29
	"Larynx"	"22020"	"Oregon"	"41"	"2004"	"2004"	"Female"	"F"	17
	"Larynx"	"22020"	"Oregon"	"41"	"2004"	"2004"	"Male"	"M"	25
	"Larynx"	"22020"	"Oregon"	"41"	"2005"	"2005"	"Male"	"M"	19
	"Larynx"	"22020"	"Oregon"	"41"	"2006"	"2006"	"Male"	"M"	20
	"Larynx"	"22020"	"Oregon"	"41"	"2007"	"2007"	"Male"	"M"	22
	"Larynx"	"22020"	"Oregon"	"41"	"2008"	"2008"	"Male"	"M"	21
	"Larynx"	"22020"	"Oregon"	"41"	"2009"	"2009"	"Male"	"M"	29
	"Larynx"	"22020"	"Oregon"	"41"	"2010"	"2010"	"Male"	"M"	28
	"Larynx"	"22020"	"Oregon"	"41"	"2011"	"2011"	"Male"	"M"	28
	"Larynx"	"22020"	"Oregon"	"41"	"2012"	"2012"	"Male"	"M"	22
	"Larynx"	"22020"	"Oregon"	"41"	"2013"	"2013"	"Male"	"M"	31
	"Larynx"	"22020"	"Pennsylvania"	"42"	"1999"	"1999"	"Female"	"F"	49
	"Larynx"	"22020"	"Pennsylvania"	"42"	"1999"	"1999"	"Male"	"M"	176
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2000"	"2000"	"Female"	"F"	47
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2000"	"2000"	"Male"	"M"	160
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2001"	"2001"	"Female"	"F"	40
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2001"	"2001"	"Male"	"M"	155
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2002"	"2002"	"Female"	"F"	46
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2002"	"2002"	"Male"	"M"	171
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2003"	"2003"	"Female"	"F"	45
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2003"	"2003"	"Male"	"M"	153
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2004"	"2004"	"Female"	"F"	47
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2004"	"2004"	"Male"	"M"	153
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2005"	"2005"	"Female"	"F"	43
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2005"	"2005"	"Male"	"M"	154
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2006"	"2006"	"Female"	"F"	49
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2006"	"2006"	"Male"	"M"	137
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2007"	"2007"	"Female"	"F"	39
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2007"	"2007"	"Male"	"M"	167
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2008"	"2008"	"Female"	"F"	39
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2008"	"2008"	"Male"	"M"	168
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2009"	"2009"	"Female"	"F"	38
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2009"	"2009"	"Male"	"M"	148
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2010"	"2010"	"Female"	"F"	36
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2010"	"2010"	"Male"	"M"	135
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2011"	"2011"	"Female"	"F"	52
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2011"	"2011"	"Male"	"M"	139
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2012"	"2012"	"Female"	"F"	42
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2012"	"2012"	"Male"	"M"	138
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2013"	"2013"	"Female"	"F"	46
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2013"	"2013"	"Male"	"M"	148
	"Larynx"	"22020"	"Rhode Island"	"44"	"2000"	"2000"	"Male"	"M"	16
	"Larynx"	"22020"	"Rhode Island"	"44"	"2002"	"2002"	"Male"	"M"	17
	"Larynx"	"22020"	"South Carolina"	"45"	"1999"	"1999"	"Male"	"M"	49
	"Larynx"	"22020"	"South Carolina"	"45"	"2000"	"2000"	"Male"	"M"	51
	"Larynx"	"22020"	"South Carolina"	"45"	"2001"	"2001"	"Male"	"M"	45
	"Larynx"	"22020"	"South Carolina"	"45"	"2002"	"2002"	"Male"	"M"	60
	"Larynx"	"22020"	"South Carolina"	"45"	"2003"	"2003"	"Male"	"M"	61
	"Larynx"	"22020"	"South Carolina"	"45"	"2004"	"2004"	"Male"	"M"	48
	"Larynx"	"22020"	"South Carolina"	"45"	"2005"	"2005"	"Male"	"M"	57
	"Larynx"	"22020"	"South Carolina"	"45"	"2006"	"2006"	"Male"	"M"	56
	"Larynx"	"22020"	"South Carolina"	"45"	"2007"	"2007"	"Female"	"F"	16
	"Larynx"	"22020"	"South Carolina"	"45"	"2007"	"2007"	"Male"	"M"	45
	"Larynx"	"22020"	"South Carolina"	"45"	"2008"	"2008"	"Female"	"F"	20
	"Larynx"	"22020"	"South Carolina"	"45"	"2008"	"2008"	"Male"	"M"	64
	"Larynx"	"22020"	"South Carolina"	"45"	"2009"	"2009"	"Male"	"M"	47
	"Larynx"	"22020"	"South Carolina"	"45"	"2010"	"2010"	"Female"	"F"	20
	"Larynx"	"22020"	"South Carolina"	"45"	"2010"	"2010"	"Male"	"M"	65
	"Larynx"	"22020"	"South Carolina"	"45"	"2011"	"2011"	"Male"	"M"	64
	"Larynx"	"22020"	"South Carolina"	"45"	"2012"	"2012"	"Male"	"M"	61
	"Larynx"	"22020"	"South Carolina"	"45"	"2013"	"2013"	"Male"	"M"	71
	"Larynx"	"22020"	"Tennessee"	"47"	"1999"	"1999"	"Female"	"F"	23
	"Larynx"	"22020"	"Tennessee"	"47"	"1999"	"1999"	"Male"	"M"	82
	"Larynx"	"22020"	"Tennessee"	"47"	"2000"	"2000"	"Female"	"F"	18
	"Larynx"	"22020"	"Tennessee"	"47"	"2000"	"2000"	"Male"	"M"	70
	"Larynx"	"22020"	"Tennessee"	"47"	"2001"	"2001"	"Female"	"F"	28
	"Larynx"	"22020"	"Tennessee"	"47"	"2001"	"2001"	"Male"	"M"	73
	"Larynx"	"22020"	"Tennessee"	"47"	"2002"	"2002"	"Female"	"F"	21
	"Larynx"	"22020"	"Tennessee"	"47"	"2002"	"2002"	"Male"	"M"	55
	"Larynx"	"22020"	"Tennessee"	"47"	"2003"	"2003"	"Male"	"M"	84
	"Larynx"	"22020"	"Tennessee"	"47"	"2004"	"2004"	"Male"	"M"	86
	"Larynx"	"22020"	"Tennessee"	"47"	"2005"	"2005"	"Male"	"M"	89
	"Larynx"	"22020"	"Tennessee"	"47"	"2006"	"2006"	"Female"	"F"	31
	"Larynx"	"22020"	"Tennessee"	"47"	"2006"	"2006"	"Male"	"M"	81
	"Larynx"	"22020"	"Tennessee"	"47"	"2007"	"2007"	"Male"	"M"	70
	"Larynx"	"22020"	"Tennessee"	"47"	"2008"	"2008"	"Female"	"F"	19
	"Larynx"	"22020"	"Tennessee"	"47"	"2008"	"2008"	"Male"	"M"	81
	"Larynx"	"22020"	"Tennessee"	"47"	"2009"	"2009"	"Female"	"F"	23
	"Larynx"	"22020"	"Tennessee"	"47"	"2009"	"2009"	"Male"	"M"	81
	"Larynx"	"22020"	"Tennessee"	"47"	"2010"	"2010"	"Female"	"F"	24
	"Larynx"	"22020"	"Tennessee"	"47"	"2010"	"2010"	"Male"	"M"	71
	"Larynx"	"22020"	"Tennessee"	"47"	"2011"	"2011"	"Female"	"F"	19
	"Larynx"	"22020"	"Tennessee"	"47"	"2011"	"2011"	"Male"	"M"	85
	"Larynx"	"22020"	"Tennessee"	"47"	"2012"	"2012"	"Female"	"F"	18
	"Larynx"	"22020"	"Tennessee"	"47"	"2012"	"2012"	"Male"	"M"	77
	"Larynx"	"22020"	"Tennessee"	"47"	"2013"	"2013"	"Female"	"F"	24
	"Larynx"	"22020"	"Tennessee"	"47"	"2013"	"2013"	"Male"	"M"	86
	"Larynx"	"22020"	"Texas"	"48"	"1999"	"1999"	"Female"	"F"	41
	"Larynx"	"22020"	"Texas"	"48"	"1999"	"1999"	"Male"	"M"	192
	"Larynx"	"22020"	"Texas"	"48"	"2000"	"2000"	"Female"	"F"	45
	"Larynx"	"22020"	"Texas"	"48"	"2000"	"2000"	"Male"	"M"	209
	"Larynx"	"22020"	"Texas"	"48"	"2001"	"2001"	"Female"	"F"	46
	"Larynx"	"22020"	"Texas"	"48"	"2001"	"2001"	"Male"	"M"	184
	"Larynx"	"22020"	"Texas"	"48"	"2002"	"2002"	"Female"	"F"	40
	"Larynx"	"22020"	"Texas"	"48"	"2002"	"2002"	"Male"	"M"	194
	"Larynx"	"22020"	"Texas"	"48"	"2003"	"2003"	"Female"	"F"	49
	"Larynx"	"22020"	"Texas"	"48"	"2003"	"2003"	"Male"	"M"	199
	"Larynx"	"22020"	"Texas"	"48"	"2004"	"2004"	"Female"	"F"	44
	"Larynx"	"22020"	"Texas"	"48"	"2004"	"2004"	"Male"	"M"	220
	"Larynx"	"22020"	"Texas"	"48"	"2005"	"2005"	"Female"	"F"	36
	"Larynx"	"22020"	"Texas"	"48"	"2005"	"2005"	"Male"	"M"	208
	"Larynx"	"22020"	"Texas"	"48"	"2006"	"2006"	"Female"	"F"	60
	"Larynx"	"22020"	"Texas"	"48"	"2006"	"2006"	"Male"	"M"	190
	"Larynx"	"22020"	"Texas"	"48"	"2007"	"2007"	"Female"	"F"	29
	"Larynx"	"22020"	"Texas"	"48"	"2007"	"2007"	"Male"	"M"	191
	"Larynx"	"22020"	"Texas"	"48"	"2008"	"2008"	"Female"	"F"	49
	"Larynx"	"22020"	"Texas"	"48"	"2008"	"2008"	"Male"	"M"	203
	"Larynx"	"22020"	"Texas"	"48"	"2009"	"2009"	"Female"	"F"	44
	"Larynx"	"22020"	"Texas"	"48"	"2009"	"2009"	"Male"	"M"	205
	"Larynx"	"22020"	"Texas"	"48"	"2010"	"2010"	"Female"	"F"	40
	"Larynx"	"22020"	"Texas"	"48"	"2010"	"2010"	"Male"	"M"	220
	"Larynx"	"22020"	"Texas"	"48"	"2011"	"2011"	"Female"	"F"	43
	"Larynx"	"22020"	"Texas"	"48"	"2011"	"2011"	"Male"	"M"	226
	"Larynx"	"22020"	"Texas"	"48"	"2012"	"2012"	"Female"	"F"	56
	"Larynx"	"22020"	"Texas"	"48"	"2012"	"2012"	"Male"	"M"	227
	"Larynx"	"22020"	"Texas"	"48"	"2013"	"2013"	"Female"	"F"	48
	"Larynx"	"22020"	"Texas"	"48"	"2013"	"2013"	"Male"	"M"	230
	"Larynx"	"22020"	"Virginia"	"51"	"1999"	"1999"	"Female"	"F"	16
	"Larynx"	"22020"	"Virginia"	"51"	"1999"	"1999"	"Male"	"M"	79
	"Larynx"	"22020"	"Virginia"	"51"	"2000"	"2000"	"Female"	"F"	23
	"Larynx"	"22020"	"Virginia"	"51"	"2000"	"2000"	"Male"	"M"	92
	"Larynx"	"22020"	"Virginia"	"51"	"2001"	"2001"	"Female"	"F"	25
	"Larynx"	"22020"	"Virginia"	"51"	"2001"	"2001"	"Male"	"M"	61
	"Larynx"	"22020"	"Virginia"	"51"	"2002"	"2002"	"Female"	"F"	24
	"Larynx"	"22020"	"Virginia"	"51"	"2002"	"2002"	"Male"	"M"	65
	"Larynx"	"22020"	"Virginia"	"51"	"2003"	"2003"	"Male"	"M"	83
	"Larynx"	"22020"	"Virginia"	"51"	"2004"	"2004"	"Female"	"F"	16
	"Larynx"	"22020"	"Virginia"	"51"	"2004"	"2004"	"Male"	"M"	72
	"Larynx"	"22020"	"Virginia"	"51"	"2005"	"2005"	"Female"	"F"	18
	"Larynx"	"22020"	"Virginia"	"51"	"2005"	"2005"	"Male"	"M"	63
	"Larynx"	"22020"	"Virginia"	"51"	"2006"	"2006"	"Male"	"M"	81
	"Larynx"	"22020"	"Virginia"	"51"	"2007"	"2007"	"Female"	"F"	16
	"Larynx"	"22020"	"Virginia"	"51"	"2007"	"2007"	"Male"	"M"	65
	"Larynx"	"22020"	"Virginia"	"51"	"2008"	"2008"	"Female"	"F"	17
	"Larynx"	"22020"	"Virginia"	"51"	"2008"	"2008"	"Male"	"M"	71
	"Larynx"	"22020"	"Virginia"	"51"	"2009"	"2009"	"Female"	"F"	18
	"Larynx"	"22020"	"Virginia"	"51"	"2009"	"2009"	"Male"	"M"	67
	"Larynx"	"22020"	"Virginia"	"51"	"2010"	"2010"	"Female"	"F"	19
	"Larynx"	"22020"	"Virginia"	"51"	"2010"	"2010"	"Male"	"M"	72
	"Larynx"	"22020"	"Virginia"	"51"	"2011"	"2011"	"Male"	"M"	72
	"Larynx"	"22020"	"Virginia"	"51"	"2012"	"2012"	"Female"	"F"	16
	"Larynx"	"22020"	"Virginia"	"51"	"2012"	"2012"	"Male"	"M"	73
	"Larynx"	"22020"	"Virginia"	"51"	"2013"	"2013"	"Female"	"F"	18
	"Larynx"	"22020"	"Virginia"	"51"	"2013"	"2013"	"Male"	"M"	70
	"Larynx"	"22020"	"Washington"	"53"	"1999"	"1999"	"Female"	"F"	18
	"Larynx"	"22020"	"Washington"	"53"	"1999"	"1999"	"Male"	"M"	52
	"Larynx"	"22020"	"Washington"	"53"	"2000"	"2000"	"Female"	"F"	19
	"Larynx"	"22020"	"Washington"	"53"	"2000"	"2000"	"Male"	"M"	46
	"Larynx"	"22020"	"Washington"	"53"	"2001"	"2001"	"Male"	"M"	49
	"Larynx"	"22020"	"Washington"	"53"	"2002"	"2002"	"Female"	"F"	16
	"Larynx"	"22020"	"Washington"	"53"	"2002"	"2002"	"Male"	"M"	51
	"Larynx"	"22020"	"Washington"	"53"	"2003"	"2003"	"Male"	"M"	48
	"Larynx"	"22020"	"Washington"	"53"	"2004"	"2004"	"Male"	"M"	45
	"Larynx"	"22020"	"Washington"	"53"	"2005"	"2005"	"Male"	"M"	45
	"Larynx"	"22020"	"Washington"	"53"	"2006"	"2006"	"Female"	"F"	18
	"Larynx"	"22020"	"Washington"	"53"	"2006"	"2006"	"Male"	"M"	36
	"Larynx"	"22020"	"Washington"	"53"	"2007"	"2007"	"Female"	"F"	17
	"Larynx"	"22020"	"Washington"	"53"	"2007"	"2007"	"Male"	"M"	41
	"Larynx"	"22020"	"Washington"	"53"	"2008"	"2008"	"Male"	"M"	47
	"Larynx"	"22020"	"Washington"	"53"	"2009"	"2009"	"Male"	"M"	51
	"Larynx"	"22020"	"Washington"	"53"	"2010"	"2010"	"Female"	"F"	17
	"Larynx"	"22020"	"Washington"	"53"	"2010"	"2010"	"Male"	"M"	52
	"Larynx"	"22020"	"Washington"	"53"	"2011"	"2011"	"Male"	"M"	43
	"Larynx"	"22020"	"Washington"	"53"	"2012"	"2012"	"Female"	"F"	17
	"Larynx"	"22020"	"Washington"	"53"	"2012"	"2012"	"Male"	"M"	54
	"Larynx"	"22020"	"Washington"	"53"	"2013"	"2013"	"Male"	"M"	54
	"Larynx"	"22020"	"West Virginia"	"54"	"1999"	"1999"	"Male"	"M"	29
	"Larynx"	"22020"	"West Virginia"	"54"	"2000"	"2000"	"Male"	"M"	33
	"Larynx"	"22020"	"West Virginia"	"54"	"2001"	"2001"	"Male"	"M"	28
	"Larynx"	"22020"	"West Virginia"	"54"	"2002"	"2002"	"Male"	"M"	26
	"Larynx"	"22020"	"West Virginia"	"54"	"2003"	"2003"	"Male"	"M"	32
	"Larynx"	"22020"	"West Virginia"	"54"	"2004"	"2004"	"Male"	"M"	28
	"Larynx"	"22020"	"West Virginia"	"54"	"2005"	"2005"	"Male"	"M"	41
	"Larynx"	"22020"	"West Virginia"	"54"	"2006"	"2006"	"Male"	"M"	30
	"Larynx"	"22020"	"West Virginia"	"54"	"2007"	"2007"	"Male"	"M"	28
	"Larynx"	"22020"	"West Virginia"	"54"	"2008"	"2008"	"Male"	"M"	39
	"Larynx"	"22020"	"West Virginia"	"54"	"2009"	"2009"	"Male"	"M"	28
	"Larynx"	"22020"	"West Virginia"	"54"	"2010"	"2010"	"Male"	"M"	23
	"Larynx"	"22020"	"West Virginia"	"54"	"2011"	"2011"	"Male"	"M"	21
	"Larynx"	"22020"	"West Virginia"	"54"	"2012"	"2012"	"Male"	"M"	40
	"Larynx"	"22020"	"West Virginia"	"54"	"2013"	"2013"	"Male"	"M"	33
	"Larynx"	"22020"	"Wisconsin"	"55"	"1999"	"1999"	"Male"	"M"	57
	"Larynx"	"22020"	"Wisconsin"	"55"	"2000"	"2000"	"Male"	"M"	46
	"Larynx"	"22020"	"Wisconsin"	"55"	"2001"	"2001"	"Female"	"F"	19
	"Larynx"	"22020"	"Wisconsin"	"55"	"2001"	"2001"	"Male"	"M"	56
	"Larynx"	"22020"	"Wisconsin"	"55"	"2002"	"2002"	"Male"	"M"	37
	"Larynx"	"22020"	"Wisconsin"	"55"	"2003"	"2003"	"Male"	"M"	43
	"Larynx"	"22020"	"Wisconsin"	"55"	"2004"	"2004"	"Female"	"F"	20
	"Larynx"	"22020"	"Wisconsin"	"55"	"2004"	"2004"	"Male"	"M"	49
	"Larynx"	"22020"	"Wisconsin"	"55"	"2005"	"2005"	"Male"	"M"	50
	"Larynx"	"22020"	"Wisconsin"	"55"	"2006"	"2006"	"Female"	"F"	16
	"Larynx"	"22020"	"Wisconsin"	"55"	"2006"	"2006"	"Male"	"M"	58
	"Larynx"	"22020"	"Wisconsin"	"55"	"2007"	"2007"	"Male"	"M"	58
	"Larynx"	"22020"	"Wisconsin"	"55"	"2008"	"2008"	"Male"	"M"	44
	"Larynx"	"22020"	"Wisconsin"	"55"	"2009"	"2009"	"Male"	"M"	42
	"Larynx"	"22020"	"Wisconsin"	"55"	"2010"	"2010"	"Male"	"M"	57
	"Larynx"	"22020"	"Wisconsin"	"55"	"2011"	"2011"	"Male"	"M"	42
	"Larynx"	"22020"	"Wisconsin"	"55"	"2012"	"2012"	"Male"	"M"	43
	"Larynx"	"22020"	"Wisconsin"	"55"	"2013"	"2013"	"Male"	"M"	36
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	167
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	178
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	159
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	157
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	152
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	215
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	157
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	195
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	165
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	169
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	156
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	209
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	180
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	196
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	147
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	191
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	156
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	211
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	159
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	230
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	180
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	213
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	155
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	208
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	167
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	238
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	162
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	278
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	167
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	209
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	16
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	17
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	19
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2006"	"2006"	"Male"	"M"	25
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	16
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	18
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	17
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	32
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	19
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	24
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	17
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"1999"	"1999"	"Female"	"F"	170
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"1999"	"1999"	"Male"	"M"	212
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2000"	"2000"	"Female"	"F"	154
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2000"	"2000"	"Male"	"M"	183
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2001"	"2001"	"Female"	"F"	150
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2001"	"2001"	"Male"	"M"	233
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	152
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	212
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	173
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	210
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	145
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	223
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	158
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	216
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	158
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	244
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	184
